Company,Major index membership,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Stock has options trading on a market exchange,Stock available to sell short,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (YoY),Quarterly earnings growth (YoY),Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close,Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest share / ratio,Short interest,Analysts' mean target price,52-Week trading range,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Average volume (3 month),Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),"Volatility (Week, Month)",Previous close,Current stock price,Performance (today)
LDOS,S&P 500,12.83B,685.00M,14.40B,31.38,3.78,1.44,1.53%,45000,Yes,Yes,2.10,19.02,12.64,2.90,0.89,3.00,24.87,19.51,0.90,0.90,1.14,0.91,-4.52%,4.95,7.44,1.59,-5.70%,11.06%,6.55%,24.90%,7.20%,5.90%,5.40%,Feb 14 BMO,-5.51%,0.50%,-11.90%,78.60%,-1.73%,5.30%,16.80%,9.70%,14.50%,7.60%,4.80%,28.90%,-6.11%,137.00M,135.44M,1.20% / 1.84,1.62M,117.42,87.24 - 111.12,-15.60%,7.50%,33.85,0.38,883.12K,"175,747",-3.27%,-5.27%,-14.35%,-1.29%,-8.24%,-10.85%,0.78,1.94,1.75% 2.21%,94.06,93.78,-0.30%
LEN,S&P 500,27.54B,4.56B,33.67B,83.87,17.19,1.50,1.51%,12012,Yes,Yes,2.30,6.26,9.77,0.26,0.82,1.18,5.76,9.94,-,-,0.26,0.17,1.71%,15.82,10.14,2.16,10.30%,10.66%,23.70%,36.00%,21.60%,20.60%,16.50%,Dec 14 AMC,2.53%,1.70%,0.00%,98.20%,2.25%,13.00%,20.40%,15.30%,22.30%,17.90%,13.50%,8.70%,18.78%,287.36M,263.86M,3.05% / 3.65,8.05M,109.00,62.54 - 109.28,-8.03%,60.70%,56.44,1.20,2.21M,"1,384,113",4.62%,-2.92%,17.00%,29.01%,20.00%,11.05%,1.43,2.39,2.01% 2.25%,99.08,100.50,1.43%
LH,S&P 500,20.36B,1.28B,14.88B,113.83,4.86,2.88,1.25%,80000,Yes,Yes,2.00,16.61,12.17,-,1.37,2.02,47.35,15.13,1.30,1.50,0.54,0.51,-6.23%,13.84,18.90,4.03,-42.70%,9.88%,-13.85%,15.40%,7.60%,-9.40%,-85.10%,Feb 16 BMO,-7.16%,0.10%,-28.62%,94.40%,-2.67%,6.30%,12.40%,9.50%,29.50%,11.90%,8.60%,0.00%,-3.74%,88.70M,88.35M,1.64% / 2.29,1.45M,286.75,200.32 - 281.22,-18.97%,13.75%,30.94,0.54,633.56K,"178,132",-4.84%,-7.83%,-2.68%,-1.75%,-12.30%,-3.23%,1.05,5.14,1.74% 2.29%,229.96,227.87,-0.91%
LHX,S&P 500,39.16B,1.06B,17.06B,97.18,4.67,4.56,2.19%,46000,Yes,Yes,-,38.08,15.69,12.46,2.30,2.14,44.50,37.58,0.90,1.20,0.38,0.34,-2.43%,5.46,13.25,2.89,-39.60%,7.89%,3.06%,-0.50%,22.60%,5.20%,-11.70%,Jan 26 AMC,-0.13%,0.30%,-6.53%,84.70%,-0.56%,3.10%,5.60%,3.60%,28.70%,6.60%,6.20%,60.80%,-7.84%,190.60M,189.51M,0.88% / 1.26,1.67M,252.32,189.73 - 264.71,-21.86%,9.02%,42.13,0.55,1.33M,"381,312",-2.51%,-2.63%,-5.44%,-11.28%,-21.01%,-0.65%,0.72,3.70,1.80% 1.65%,207.93,206.85,-0.52%
LIN,S&P 500,169.54B,4.15B,33.36B,81.08,11.38,5.10,1.44%,65010,Yes,Yes,2.00,43.08,24.07,4.25,5.08,4.38,31.19,50.66,0.70,0.80,0.45,0.30,2.59%,8.24,14.74,3.11,12.40%,10.24%,10.14%,7.70%,24.00%,-4.80%,34.50%,Feb 07 BMO,5.22%,0.10%,-14.86%,85.80%,0.62%,5.30%,10.30%,6.80%,41.70%,16.10%,12.40%,56.30%,12.97%,493.71M,491.60M,1.26% / 2.48,6.19M,374.95,262.47 - 362.74,-3.80%,32.94%,57.12,0.93,2.50M,"1,219,595",-0.80%,3.51%,5.26%,22.08%,28.55%,6.98%,0.85,7.46,1.73% 2.28%,354.90,348.94,-1.68%
LKQ,S&P 500,15.34B,1.14B,12.79B,20.36,1.04,1.10,1.91%,45000,Yes,Yes,1.80,14.07,13.15,0.42,1.20,2.83,55.17,20.62,0.70,1.90,0.49,0.48,-0.68%,4.09,4.38,0.96,12.30%,8.10%,33.50%,22.30%,5.60%,-5.80%,-12.20%,Feb 23 BMO,0.39%,0.50%,-90.26%,97.26%,-2.35%,9.50%,20.80%,14.70%,40.80%,12.40%,9.00%,25.40%,6.98%,267.80M,265.88M,1.39% / 2.29,3.68M,65.78,43.37 - 59.33,-4.11%,31.17%,47.62,0.56,1.61M,"466,112",-2.28%,1.46%,5.90%,7.16%,33.70%,6.52%,1.37,1.21,1.71% 2.19%,57.54,56.89,-1.13%
LLY,S&P 500,294.49B,6.24B,28.54B,11.81,2.35,4.52,1.45%,39000,Yes,Yes,2.10,45.23,26.44,1.98,10.32,26.46,133.14,173.81,0.80,1.10,1.52,1.38,-2.77%,6.91,11.82,1.80,12.80%,39.16%,22.87%,10.10%,7.40%,-8.70%,13.50%,Feb 02 BMO,-7.12%,10.90%,39.46%,84.80%,0.67%,13.10%,64.70%,24.40%,76.80%,25.00%,21.90%,56.60%,-4.39%,952.35M,950.41M,0.55% / 1.79,5.22M,386.39,262.07 - 384.44,-17.31%,21.30%,40.42,1.03,2.92M,"1,563,064",0.90%,-6.42%,-13.75%,2.02%,22.29%,-13.11%,0.35,7.79,1.85% 2.11%,312.54,317.88,1.71%
LMT,S&P 500,122.52B,5.73B,65.98B,36.08,9.97,12.00,2.50%,116000,Yes,Yes,2.60,22.07,17.14,2.26,1.86,13.29,48.10,39.32,1.10,1.30,0.00,1.67,0.43%,21.72,27.98,6.13,-4.80%,4.52%,9.77%,10.80%,5.70%,7.10%,-0.70%,Jan 24 BMO,2.27%,0.08%,-7.00%,76.30%,-0.74%,11.00%,53.70%,23.80%,12.70%,10.30%,8.70%,52.30%,7.73%,256.80M,253.80M,1.07% / 2.02,2.71M,487.67,373.67 - 498.95,-3.86%,28.37%,57.81,0.42,1.34M,"296,259",0.29%,2.43%,-0.89%,14.17%,6.84%,-1.40%,0.67,7.26,1.36% 1.48%,479.50,479.69,0.04%
LNC,S&P 500,4.83B,-2226.00M,18.78B,18.41,20.23,1.80,6.15%,11316,Yes,Yes,3.10,-,3.07,-,0.26,1.59,1.45,1.30,-,-,2.07,1.91,-12.85%,-13.17,9.52,1.91,-266.10%,11.85%,4.50%,-42.00%,5.60%,-8.90%,-97.70%,Feb 08 AMC,-12.36%,0.20%,0.46%,81.70%,2.25%,-0.70%,-30.50%,-18.40%,-,-12.60%,-11.90%,-,-33.38%,169.20M,153.12M,4.88% / 2.25,7.47M,34.23,28.61 - 69.91,-59.48%,-0.98%,30.52,0.44,3.31M,"756,186",-7.66%,-20.02%,-24.15%,-40.55%,-52.32%,-7.78%,1.80,1.17,3.30% 3.56%,29.25,28.33,-3.15%
LNT,S&P 500,12.83B,685.00M,4.20B,24.98,0.08,1.81,3.51%,3129,Yes,Yes,2.90,18.91,17.83,3.41,3.05,2.06,641.58,-,0.40,0.50,1.39,1.22,0.06%,2.73,2.89,0.47,3.90%,3.73%,5.55%,7.50%,4.50%,14.10%,21.30%,Feb 23 AMC,-2.47%,0.16%,0.00%,78.40%,2.87%,3.50%,11.10%,6.00%,90.70%,22.10%,16.30%,62.60%,-7.09%,251.20M,250.65M,1.28% / 2.31,3.21M,57.00,47.19 - 65.37,-19.72%,11.21%,48.91,0.51,1.39M,"373,840",1.73%,-1.98%,-5.12%,-16.84%,-13.24%,-4.94%,0.53,1.14,2.14% 2.11%,51.57,52.48,1.76%
LOW,S&P 500,118.81B,6.66B,95.95B,-20.82,-,4.20,2.09%,200000,Yes,Yes,2.30,19.72,13.58,2.25,1.24,-,-,22.24,0.20,1.20,-,-,-1.34%,10.20,14.81,3.52,55.30%,8.20%,8.78%,28.20%,8.20%,2.40%,-91.00%,Mar 01 BMO,-1.49%,0.08%,-12.95%,78.40%,-3.58%,17.90%,-101.80%,46.80%,33.40%,12.70%,8.80%,18.90%,2.55%,618.00M,604.00M,1.78% / 3.51,10.73M,228.42,170.12 - 238.37,-15.00%,19.11%,47.92,0.54,3.06M,"867,414",3.86%,-5.64%,0.35%,0.66%,-9.24%,1.70%,1.09,5.46,2.26% 2.54%,201.14,202.62,0.74%
LRCX,"NDX, S&P 500",66.35B,5.13B,19.05B,61.06,34.12,6.90,1.40%,17700,Yes,Yes,2.30,13.26,18.21,5.82,3.48,8.08,14.46,31.65,2.00,3.00,0.60,0.60,0.13%,37.20,27.09,6.54,21.80%,-19.51%,2.28%,28.80%,16.50%,24.90%,27.60%,Jan 25 AMC,3.59%,0.20%,-2.93%,86.40%,1.90%,28.60%,73.20%,42.50%,45.30%,31.80%,26.90%,16.70%,10.27%,136.02M,134.52M,1.82% / 1.92,2.45M,510.08,299.59 - 574.79,-13.76%,65.46%,52.78,0.49,1.28M,"329,612",1.17%,-7.04%,11.88%,14.75%,1.09%,17.94%,1.51,15.79,3.17% 3.04%,493.40,495.71,0.47%
LUMN,S&P 500,3.08B,-1548.00M,17.48B,10.48,1.23,-,-,29000,Yes,Yes,3.40,-,11.27,-,0.18,0.29,2.46,3.28,1.10,1.10,1.97,1.96,-16.19%,-1.59,0.27,0.08,-180.60%,-11.26%,-,-39.80%,-0.20%,-21.60%,-716.20%,Feb 07 AMC,-35.16%,0.10%,6.86%,80.90%,0.64%,-2.90%,-13.00%,-0.80%,55.00%,1.80%,-8.90%,-,-61.39%,995.57M,991.67M,14.53% / 4.94,144.11M,4.89,2.99 - 12.54,-75.95%,0.85%,23.69,0.88,29.19M,"13,463,044",-6.64%,-39.57%,-44.16%,-69.17%,-72.46%,-42.23%,1.04,0.22,5.65% 5.83%,3.02,3.02,-0.15%
LUV,S&P 500,19.99B,539.00M,23.81B,18.02,20.84,0.72,2.12%,66656,Yes,Yes,2.20,42.91,8.70,0.72,0.84,1.88,1.63,5.31,1.40,1.40,0.76,0.75,-2.78%,0.79,3.90,-0.19,-47.70%,42.28%,59.76%,-24.70%,2.40%,22.20%,-430.60%,Jan 26 BMO,-4.87%,0.10%,-0.38%,76.10%,-4.59%,1.50%,5.00%,3.40%,68.60%,3.50%,2.30%,19.80%,-9.60%,593.00M,591.67M,1.61% / 1.43,9.55M,45.56,30.20 - 50.10,-33.41%,10.46%,38.92,0.75,6.69M,"2,619,908",-1.65%,-7.82%,-15.93%,-11.72%,-14.81%,-0.92%,1.15,0.82,2.01% 2.08%,33.90,33.36,-1.59%
LVS,S&P 500,44.66B,-1066.00M,4.11B,5.08,8.34,-,-,35500,Yes,Yes,1.90,-,21.68,-,10.87,11.62,7.08,-,1.70,1.70,4.12,3.59,-0.44%,-1.40,2.72,0.16,7.60%,97.25%,-1.75%,-20.00%,-20.20%,10.80%,32.00%,Jan 25 AMC,3.64%,56.80%,0.00%,41.00%,0.34%,8.30%,44.40%,-4.80%,40.10%,-19.30%,44.60%,0.00%,34.65%,764.00M,330.09M,4.72% / 3.10,15.59M,64.15,28.88 - 60.99,-5.84%,98.89%,50.40,0.83,5.04M,"2,172,449",-4.55%,-1.05%,22.71%,57.77%,55.22%,19.47%,1.17,1.49,2.28% 2.39%,59.05,57.43,-2.74%
LW,S&P 500,14.42B,473.60M,4.51B,3.98,2.91,1.12,1.12%,8000,Yes,Yes,1.90,30.56,22.38,0.75,3.20,25.11,34.39,47.19,1.10,2.00,4.79,4.71,-0.48%,3.27,4.47,0.94,-36.30%,13.21%,40.50%,-9.10%,5.30%,26.80%,221.00%,Jan 05 BMO,2.29%,0.50%,-6.79%,91.50%,0.72%,11.00%,103.20%,10.30%,25.10%,15.50%,10.50%,29.60%,19.72%,144.00M,139.58M,1.78% / 1.78,2.49M,106.67,49.71 - 102.77,-2.80%,100.95%,51.21,0.57,1.40M,"414,071",-2.36%,0.84%,15.76%,24.69%,92.99%,11.78%,0.53,1.59,1.64% 1.48%,99.93,99.89,-0.04%
LYB,S&P 500,30.73B,3.89B,50.45B,40.69,6.57,4.76,5.07%,19300,Yes,Yes,2.70,7.89,8.82,2.23,0.61,2.31,14.28,31.26,1.00,1.80,0.90,0.84,-5.22%,11.89,10.64,1.81,-29.50%,16.75%,3.54%,3.00%,7.90%,-20.50%,-47.80%,Feb 03 BMO,-1.73%,0.10%,-90.06%,71.90%,-0.31%,10.50%,31.20%,17.60%,13.10%,10.10%,7.70%,29.50%,4.47%,310.00M,254.76M,2.99% / 4.27,7.62M,97.67,71.46 - 112.53,-18.21%,28.80%,38.59,0.52,1.78M,"487,909",-5.78%,-8.29%,11.83%,12.93%,0.41%,10.85%,1.21,2.20,2.17% 2.12%,93.82,92.04,-1.90%
LYV,S&P 500,16.16B,149.20M,16.68B,-1.62,24.38,-,-,12800,Yes,Yes,2.10,131.31,54.50,-,0.97,-,2.88,10.88,1.00,1.00,-,-,-6.40%,0.54,1.29,-0.40,120.90%,94.71%,-,23.40%,11.50%,58.70%,-22.60%,Feb 23 AMC,-6.51%,2.30%,-11.51%,71.90%,-0.67%,0.90%,-43.60%,11.50%,26.00%,4.40%,0.90%,0.00%,-14.01%,226.87M,155.81M,7.86% / 6.13,12.25M,99.00,65.05 - 121.28,-42.24%,7.69%,36.88,0.61,2.00M,"636,770",-3.32%,-13.17%,-1.21%,-23.18%,-33.92%,0.45%,1.31,2.14,2.44% 3.05%,70.25,70.05,-0.28%
MA,S&P 500,336.63B,9.93B,22.24B,6.57,7.90,2.28,0.64%,29900,Yes,Yes,1.90,35.12,24.76,1.73,15.14,54.65,45.44,38.04,1.20,1.20,2.23,2.18,-0.41%,10.22,14.50,2.71,16.80%,19.02%,20.34%,18.00%,12.20%,11.50%,8.80%,Jan 26 BMO,-1.32%,10.70%,-2.20%,78.50%,-0.21%,26.50%,153.60%,51.50%,-,55.20%,44.70%,19.10%,6.08%,959.00M,850.70M,0.70% / 2.25,5.98M,424.49,276.87 - 390.00,-7.64%,30.10%,47.50,0.50,2.66M,"695,383",1.30%,-3.96%,3.65%,9.61%,14.60%,3.59%,1.11,6.53,1.72% 1.62%,359.03,360.21,0.33%
MAA,S&P 500,17.88B,633.30M,2.02B,52.22,0.34,4.25,2.73%,2387,Yes,Yes,2.50,28.44,32.24,4.06,8.85,2.99,462.08,51.56,-,-,0.73,0.73,-5.89%,5.48,4.84,1.09,19.00%,-2.24%,7.00%,14.00%,5.70%,13.90%,4.30%,Feb 01 AMC,-4.68%,0.10%,-4.83%,95.60%,-1.53%,5.60%,10.60%,6.30%,60.90%,32.20%,31.40%,85.20%,-6.24%,115.40M,114.67M,1.61% / 2.64,1.85M,180.67,141.13 - 217.64,-28.93%,9.60%,38.04,0.97,700.01K,"353,043",-1.39%,-10.81%,-1.60%,-9.03%,-25.70%,-1.47%,0.77,3.96,2.78% 2.18%,155.92,154.68,-0.80%
MAR,"NDX, S&P 500",52.77B,2.36B,20.77B,1.79,1.67,1.60,0.92%,377000,Yes,Yes,2.70,23.92,20.00,0.55,2.54,96.89,104.08,29.19,0.50,0.50,17.72,16.51,-1.30%,7.25,8.67,1.84,116.90%,12.19%,43.50%,6.00%,0.30%,33.20%,49.20%,Feb 14 BMO,2.76%,0.90%,-1.37%,61.70%,-3.33%,9.50%,182.30%,25.50%,21.90%,16.70%,11.40%,9.60%,8.78%,316.60M,256.28M,1.69% / 2.37,4.33M,180.59,131.01 - 195.90,-12.76%,30.44%,49.12,0.59,1.83M,"564,143",-0.00%,-2.58%,6.50%,8.44%,11.85%,14.78%,1.59,3.45,1.89% 1.99%,173.44,170.90,-1.47%
MAS,S&P 500,11.38B,844.00M,8.68B,-2.11,2.04,1.14,2.22%,19000,Yes,Yes,2.60,14.18,13.79,-,1.31,-,25.19,31.80,0.90,1.60,-,-,-2.65%,3.62,3.73,0.63,124.40%,13.84%,-0.04%,23.30%,7.60%,-4.90%,-4.70%,Feb 09 BMO,0.57%,0.10%,-65.10%,97.60%,-0.31%,15.60%,-152.90%,38.60%,31.30%,15.20%,9.70%,30.70%,1.96%,228.00M,224.74M,2.86% / 3.62,6.43M,57.53,42.33 - 58.18,-10.51%,23.00%,47.21,1.06,1.78M,"986,958",-0.02%,-4.48%,7.53%,2.39%,-0.79%,11.56%,1.20,1.38,2.28% 2.69%,51.35,52.07,1.40%
MCD,"DJIA, S&P 500",193.01B,6.18B,23.18B,-8.21,3.55,6.08,2.29%,150000,Yes,Yes,2.00,31.80,22.68,4.36,8.33,-,74.70,146.29,1.40,1.40,-,-,-0.37%,8.34,11.70,2.30,-17.00%,10.42%,7.30%,2.90%,0.30%,-1.40%,18.60%,Jan 31 BMO,-0.73%,0.17%,-1.28%,70.20%,0.21%,12.40%,-99.10%,24.00%,57.00%,38.10%,26.60%,67.40%,2.27%,731.10M,730.16M,0.70% / 1.93,5.11M,294.55,217.68 - 281.67,-5.91%,21.75%,46.83,0.44,2.64M,"613,995",-0.95%,-0.87%,-2.48%,2.55%,18.96%,0.57%,0.63,3.83,1.55% 1.31%,265.33,265.02,-0.12%
MCHP,"NDX, S&P 500",45.43B,2.07B,8.05B,11.49,0.54,1.43,1.69%,21000,Yes,Yes,2.20,22.84,13.61,1.65,5.64,7.36,157.26,17.95,1.00,1.80,0.00,1.04,2.89%,3.70,6.21,1.62,75.90%,3.97%,13.80%,44.30%,14.90%,23.40%,68.00%,Feb 02 AMC,8.67%,2.09%,-0.21%,93.30%,-2.56%,12.80%,34.10%,11.30%,67.10%,34.70%,25.70%,30.90%,22.10%,549.20M,538.57M,3.02% / 3.50,16.29M,95.14,54.33 - 87.76,-3.20%,56.36%,61.62,0.54,4.66M,"1,307,808",4.81%,-1.81%,13.06%,30.63%,23.96%,20.93%,1.59,2.21,2.99% 2.51%,84.52,84.95,0.51%
MCK,S&P 500,46.55B,3.15B,273.90B,-17.55,20.16,2.16,0.64%,58000,Yes,Yes,1.90,15.48,12.79,1.30,0.17,-,16.78,11.14,0.50,0.90,-,-,-5.80%,21.85,26.44,7.17,125.70%,1.84%,11.87%,-20.80%,5.90%,2.70%,-,Feb 01 AMC,-8.81%,0.10%,-20.10%,89.30%,-1.24%,5.00%,-147.80%,33.60%,4.60%,1.50%,1.10%,8.90%,-5.54%,139.90M,136.82M,1.61% / 2.13,2.21M,429.75,273.04 - 401.78,-16.31%,23.15%,25.36,0.54,1.03M,"294,484",-3.19%,-7.52%,-11.05%,-8.37%,23.28%,-10.36%,0.58,6.83,2.05% 1.73%,338.28,336.25,-0.60%
MCO,S&P 500,52.39B,1.42B,5.47B,13.74,10.44,3.08,1.05%,14426,Yes,Yes,2.20,38.25,26.45,-,9.58,21.41,28.18,77.50,1.70,1.70,0.00,2.93,0.82%,7.69,11.12,2.11,-34.70%,20.08%,-1.40%,3.70%,5.40%,-16.20%,-29.80%,Jan 31 BMO,-0.25%,0.10%,-32.83%,94.40%,-0.32%,9.60%,58.10%,16.30%,70.50%,35.70%,25.10%,37.50%,5.18%,183.30M,182.66M,1.29% / 2.90,2.36M,323.60,230.16 - 346.22,-12.86%,31.08%,51.39,0.86,813.52K,"367,542",3.91%,-5.09%,3.11%,2.47%,-3.92%,8.28%,1.29,7.17,2.35% 1.98%,294.12,301.69,2.58%
MDLZ,"NDX, S&P 500",88.26B,2.72B,31.50B,19.64,1.42,1.54,2.37%,91000,Yes,Yes,2.00,33.21,18.93,5.04,2.80,3.31,45.90,86.79,0.40,0.60,0.85,0.75,0.08%,1.96,3.44,0.81,-35.50%,8.59%,6.59%,1.50%,4.00%,13.50%,-40.40%,Jan 31 AMC,-0.39%,0.16%,-1.91%,80.10%,-0.13%,4.00%,10.00%,5.10%,35.90%,10.80%,8.60%,74.60%,3.79%,1.37B,1.35B,0.85% / 2.00,11.46M,75.03,54.72 - 68.81,-4.67%,19.87%,50.34,0.45,5.72M,"1,341,302",0.36%,0.79%,-2.52%,6.80%,7.89%,-1.58%,0.65,1.04,1.66% 1.63%,65.09,65.60,0.78%
MDT,S&P 500,102.86B,4.06B,30.77B,38.67,8.49,2.72,3.47%,95000,Yes,Yes,2.50,25.77,14.70,11.84,3.34,2.03,9.24,167.80,1.40,1.80,0.55,0.43,-4.87%,3.04,5.33,1.56,44.20%,1.08%,2.18%,5.20%,1.30%,-0.50%,-16.30%,Feb 21 BMO,-3.26%,0.10%,-1.50%,84.60%,1.46%,4.40%,7.80%,6.90%,66.70%,18.00%,13.20%,87.50%,-7.87%,1.33B,1.33B,0.85% / 1.67,11.30M,94.45,75.76 - 114.31,-30.64%,4.65%,37.65,0.67,6.75M,"2,355,904",-3.62%,-8.43%,2.86%,-8.98%,-23.83%,2.01%,0.73,1.62,2.29% 1.93%,78.40,79.29,1.13%
MET,S&P 500,51.57B,2.35B,69.90B,34.50,26.43,2.00,2.96%,45000,Yes,Yes,2.10,26.54,7.39,4.36,0.74,1.96,2.55,4.44,-,-,0.66,0.66,-7.88%,2.54,9.13,1.96,-62.90%,9.99%,6.09%,-8.70%,2.30%,-18.80%,-8.50%,Feb 01 AMC,-8.33%,0.10%,-12.47%,75.50%,-0.79%,0.30%,6.60%,7.80%,-,5.40%,3.40%,67.00%,-3.82%,783.70M,659.31M,1.03% / 1.72,6.81M,83.50,57.41 - 77.36,-15.42%,13.97%,26.14,1.20,3.95M,"2,483,580",-5.71%,-8.18%,-13.08%,-1.12%,5.60%,-9.59%,1.08,1.63,2.73% 2.03%,67.50,65.43,-3.07%
META,"NDX, S&P 500",451.81B,23.20B,116.61B,47.64,16.68,-,-,86482,Yes,Yes,2.10,22.13,16.08,6.09,3.87,3.88,11.09,23.72,2.20,2.20,0.08,0.08,4.37%,8.36,11.51,2.01,-41.70%,20.40%,3.63%,5.40%,23.50%,-4.50%,-58.10%,Feb 01 AMC,18.59%,0.25%,-3.37%,75.20%,-1.69%,13.30%,18.60%,16.00%,78.30%,24.80%,19.90%,0.00%,23.23%,2.64B,2.20B,1.39% / 0.95,30.59M,208.66,88.09 - 236.86,-22.13%,109.38%,66.81,0.72,32.36M,"12,141,945",5.68%,-3.74%,61.62%,15.00%,-3.07%,53.27%,1.17,6.04,3.16% 3.06%,184.97,184.45,-0.28%
MGM,S&P 500,16.66B,1.44B,13.13B,12.59,16.03,0.01,0.02%,46000,Yes,Yes,2.10,13.35,36.06,-,1.27,3.59,2.82,17.33,1.80,1.80,1.84,1.56,1.25%,3.38,1.25,0.07,44.60%,70.94%,-,30.50%,4.00%,17.50%,202.20%,Feb 08 AMC,9.71%,17.50%,-0.63%,68.60%,-7.60%,3.20%,28.20%,5.40%,49.30%,11.00%,11.00%,0.30%,26.89%,383.75M,306.13M,3.13% / 2.33,9.59M,53.79,26.41 - 46.24,-3.84%,68.34%,58.68,0.77,4.12M,"1,652,366",-1.79%,5.88%,19.13%,32.36%,18.15%,32.60%,2.07,1.07,2.27% 2.30%,45.18,44.46,-1.59%
MHK,S&P 500,6.27B,25.20M,11.74B,126.10,10.81,-,-,40900,Yes,Yes,3.10,355.07,8.97,-,0.53,0.81,9.39,70.84,1.00,1.90,0.35,0.25,-7.05%,0.29,11.32,1.30,-97.40%,27.64%,-6.25%,-50.70%,4.30%,-4.00%,-81.50%,Feb 09 AMC,-9.31%,0.10%,-27.49%,79.20%,0.20%,0.20%,0.30%,0.80%,25.70%,2.10%,0.20%,0.00%,-9.18%,63.53M,52.50M,2.98% / 2.55,1.57M,120.15,87.01 - 159.00,-35.98%,16.97%,38.14,0.39,614.73K,"126,301",-1.58%,-17.57%,5.97%,-8.06%,-20.68%,-0.43%,1.28,3.56,3.36% 3.23%,101.55,101.79,0.23%
MKC,S&P 500,19.54B,682.00M,6.35B,17.43,1.24,1.56,2.14%,14200,Yes,Yes,2.90,28.82,25.64,93.57,3.08,4.17,58.49,-,0.30,0.70,1.10,0.78,-1.66%,2.52,2.84,0.55,-9.80%,10.35%,0.31%,6.30%,6.10%,-2.00%,-5.90%,Mar 28 BMO,-5.86%,0.49%,-1.53%,88.90%,1.62%,5.20%,14.80%,7.60%,35.80%,14.40%,10.70%,58.20%,-10.79%,268.50M,263.38M,2.76% / 5.91,7.27M,78.65,71.19 - 105.19,-30.58%,2.58%,39.18,1.04,1.23M,"671,347",-0.02%,-2.09%,-13.46%,-14.09%,-25.14%,-11.90%,0.56,1.35,1.69% 1.67%,72.74,73.02,0.39%
MKTX,S&P 500,12.97B,250.20M,718.30M,28.84,11.93,2.88,0.80%,744,Yes,Yes,2.80,54.02,40.46,3.72,18.05,12.45,30.11,76.19,-,-,0.00,0.00,0.28%,6.65,8.88,1.97,-1.80%,14.26%,14.51%,9.60%,12.80%,7.80%,14.90%,Jan 25 BMO,4.97%,1.90%,-0.23%,99.60%,-0.80%,15.50%,24.30%,22.10%,92.60%,45.50%,34.80%,41.90%,27.19%,37.48M,36.67M,2.47% / 2.79,0.91M,348.60,217.44 - 389.57,-8.85%,63.31%,53.16,0.47,324.48K,"79,737",0.09%,-0.21%,24.58%,43.35%,4.15%,27.33%,0.78,9.34,2.58% 2.42%,359.09,355.11,-1.11%
MLM,S&P 500,22.43B,856.30M,6.16B,115.65,5.80,2.64,0.73%,9400,Yes,Yes,2.10,26.52,21.20,1.52,3.64,3.14,62.66,64.04,1.40,2.00,0.70,0.61,-0.60%,13.70,17.14,0.99,22.20%,15.50%,17.45%,13.80%,9.20%,-1.30%,20.20%,Feb 15 BMO,1.49%,0.50%,-0.54%,96.90%,-2.29%,5.90%,12.70%,7.80%,23.10%,19.60%,14.10%,18.30%,5.36%,62.00M,61.68M,1.84% / 3.05,1.13M,422.95,284.99 - 406.85,-11.69%,26.07%,49.78,0.57,371.09K,"109,990",-1.15%,0.23%,2.66%,2.18%,-0.41%,6.31%,0.87,8.71,2.50% 2.40%,363.36,359.30,-1.12%
MMC,S&P 500,79.37B,3.05B,20.72B,21.34,2.95,2.36,1.45%,85000,Yes,Yes,2.80,26.91,19.48,2.96,3.83,7.60,55.04,42.74,1.20,1.20,1.09,1.07,-2.40%,6.03,8.33,2.47,-1.40%,9.97%,9.08%,10.00%,8.10%,-2.20%,-40.70%,Jan 26 BMO,-4.24%,0.12%,-14.80%,90.80%,-2.01%,9.20%,29.20%,14.90%,-,20.70%,14.70%,36.90%,-0.44%,493.00M,490.05M,0.66% / 2.08,3.22M,185.00,143.33 - 183.14,-11.69%,12.84%,37.09,0.39,1.55M,"312,903",-0.09%,-6.94%,-5.94%,-2.31%,9.34%,-2.26%,0.92,2.71,1.65% 1.63%,162.25,161.74,-0.31%
